站名,车站地址,铁路局,类别,性质,省,市,lng火星,lat火星,WGS84_Lng,WGS84_Lat,BD_Lng,BD_Lat
旧庄窝,张家口市怀来县官厅镇,北京铁路局, ,乘降所,河北,张家口,115.639358,40.1723679999999,115.633236999999,40.171301,115.64580725408,40.1785093687535
石板滩,成都市新都区石龙老路石板滩车站 ,成都铁路局, ,乘降所,四川,成都,104.264675,30.725753,104.262287,30.7282979999999,104.271124871789,30.7319677277512
娄山关,贵卅省遵义市汇川区板桥缜九龙村陈家湾,成都铁路局, ,乘降所,贵州,遵义,106.899963,28.0335609999999,106.896159,28.037156,106.90654367627,28.0392563543798
么铺,贵州省安顺市开发区幺铺镇,成都铁路局, ,乘降所,贵州,安顺,105.84081,26.176461,105.83745,26.1799259999999,105.847257444035,26.1827465339559
高峰,贵州省安顺市平坝（县）高峰（镇）,成都铁路局, ,乘降所,贵州,安顺,106.345566,26.386724,106.341814,26.3900469999999,106.35203889604,26.3928686910222
新平坝,贵州省安顺市平坝县陶官村,成都铁路局, ,乘降所,贵州,安顺,106.291405,26.4087689999999,106.287774,26.412198,106.297869288768,26.4149621395192
平坝,贵州省安顺市平坝县羊昌镇,成都铁路局, ,乘降所,贵州,安顺,106.296723,26.389778,106.293083,26.393191,106.303187529905,26.3959653750043
化处,贵州省安顺市普定县化处镇,成都铁路局, ,乘降所,贵州,安顺,105.619624,26.209029,105.616414,26.2125729999999,105.626102458655,26.2151432385398
天龙,贵州省安顺市天龙镇,成都铁路局, ,乘降所,贵州,安顺,106.171815,26.368366,106.168142,26.3717159999999,106.178271695893,26.374648976206
安顺,贵州省安顺市西秀区南华路1号,成都铁路局, ,客运站,贵州,安顺,105.942716,26.2294149999999,105.939362,26.232941,105.949143940515,26.2357234321234
两所屯,贵州省安顺市西秀区七眼桥镇,成都铁路局, ,乘降所,贵州,安顺,106.008849,26.2681819999999,106.005286,26.271553,106.015271873226,26.2744905758325
墨冲,贵州省都匀市墨冲镇,成都铁路局, ,乘降所,贵州,黔西南布依族苗族自治州,107.466718,26.050899,107.462397,26.05405,107.473240046955,26.0568749738011
都匀,贵州省都匀市小围寨王家司村,成都铁路局, ,客运站,贵州,黔西南布依族苗族自治州,107.515294,26.2319579999999,107.51111,26.235365,107.521816076111,26.2379867260262
打羊,贵州省独山县打羊乡,成都铁路局, ,乘降所,贵州,黔西南布依族苗族自治州,107.573211,25.645524,107.569194,25.6486839999999,107.579681470095,25.6515963433406
